name,prompt,negative_prompt,description,category
BASE_Enhance,"(highly detailed:1.3), (intricate details:1.2), (sharp focus:1.2), (fine texture:1.2), (masterful rendering:1.1), complex detail, crisp edges, BREAK","blurry, soft focus, simple, plain, low detail, sketch","Detail booster. Stack on top of any quality BASE. Adds sharpness, texture complexity, fine rendering. Reduce weight to 0.9 if over-sharpening.",BASE
BASE_Format_Album_Cover,"album cover composition, square format, centered subject, album art aesthetic, music cover art, bold composition, graphic album design","landscape, random crop, text-heavy",Album cover square composition. Combos: PALETTE styles; STYLE_Modern_Glossy; LIGHTING_Studio_Three_Point. Good for profile images.,BASE
BASE_Format_Character_Sheet,"character sheet, character design turnaround, front and side view, multiple angles, reference sheet, character reference, design sheet, neutral pose clean background","single angle, dramatic lighting, background scene",Character design reference sheet. Combos: STYLE_Concept_Art; BASE styles. Essential for LoRA dataset prep and character consistency.,BASE
BASE_Format_Poster_Vertical,"movie poster composition, (portrait poster format:1.2), dramatic poster layout, hero shot poster, title space at top, centered subject, poster framing","wide landscape, random composition",Movie poster framing. Combos: LIGHTING_Dramatic_Shadow; STYLE_Concept_Art; COMPOSITION_Symmetry. Good for social media vertical.,BASE
BASE_Illustrious_Quality,"masterpiece, best quality, very aesthetic, absurdres, newest, (detailed:1.2), (intricate:1.1), BREAK","lowres, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), text, error, cropped, worst quality, low quality, jpeg artifacts, signature, watermark, blurry, (extra limbs:1.5), (malformed limbs:1.4), (mutation:1.4), (deformed:1.4), nsfw, explicit, nude, naked",Illustrious XL. CFG 6; Euler a; Clip Skip 1-2. Excels at soft aesthetics; expressive eyes; multi-character. Conflicts: do not mix with Pony or NoobAI base.,BASE
BASE_NoobAI_Quality,"very awa, year 2024, year 2025, newest, source_anime, absurdres, (high resolution:1.1), (intricate details:1.1), BREAK","worst aesthetic, bad aesthetic, lowres, year 2020, year 2021, year 2022, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (extra limbs:1.5), (malformed limbs:1.4), (bad proportions:1.3), (deformed:1.4), blurry, jpeg artifacts, text, watermark, nsfw, explicit, nude, naked",NoobAI XL V-Pred. CFG 1.5-3.0; Rescale CFG 0.7; Euler (NOT Euler a); SGM Uniform; Clip Skip 1. Excels at skin; lighting; action game renders. Conflicts: do not mix with Pony or Illustrious base.,BASE
BASE_PonyV6_Quality,"score_9, score_8_up, score_7_up, source_anime, (masterpiece:1.2), (best quality:1.2), absurdres, BREAK","score_4, score_5, score_6, source_cartoon, source_pony, source_furry, 3d, realistic, photorealistic, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (missing limbs:1.4), (malformed limbs:1.4), (bad proportions:1.3), (mutation:1.4), (deformed:1.4), blurry, jpeg artifacts, text, watermark, nsfw, explicit, nude, naked",Pony Diffusion V6. CFG 7; DPM++ 2M Karras; Clip Skip 2. Combos: any. Conflicts: do not mix with Illustrious or NoobAI base.,BASE
ACCESSORY_Bag,"(bag:1.2), handbag, shoulder bag, school bag, backpack, stylish purse",no bag,Bag prop. Combos: OUTFIT_Casual; OUTFIT_School_Uniform; OUTFIT_Business_Suit. Adds realism.,ACCESSORY
ACCESSORY_Glasses,"(glasses:1.2), eyeglasses, spectacles, thin frame glasses, round glasses, semi-rimless","no glasses, contacts",Glasses accessory. Combos: ARCHETYPE_Office_Lady; ACTIVITY_Reading; MOOD_Mysterious. Universal BODY.,ACCESSORY
ACCESSORY_Makeup_Eyeliner_Cat,"(cat eye liner:1.3), winged eyeliner, cat eyeliner, sharp liner wing, dramatic liner, kohl eyeliner, eyeliner flick","no makeup, natural, plain",Cat eye makeup. Combos: ARCHETYPE_Office_Lady; MOOD_Confident; EXPRESSION_Smug. Sharp and iconic.,ACCESSORY
ACCESSORY_Mask,"(mask:1.2), face mask, kitsune mask, half mask, decorative mask, masquerade mask","bare face, no mask",Mask accessory. Combos: ARCHETYPE_Kunoichi; ERA_Victorian; SCENE_Ballroom.,ACCESSORY
ACTIVITY_Archery,"(archery:1.2), drawing bow, arrow nocked, archer stance, longbow or compound, aiming, forest target, hunter skill","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Archery activity. Combos: ARCHETYPE_Elf_Ranger; ARCHETYPE_Male_Bounty_Hunter.,ACTIVITY
ACTIVITY_Crafting,"(crafting or building:1.2), hands working, making something, artisan at work, creating with hands, workshop activity, building skill","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Crafting/building activity. Combos: ARCHETYPE_Male_Blacksmith; SCENE_Renaissance_Workshop.,ACTIVITY
ACTIVITY_Gazing_Horizon,"looking into the distance, (contemplative pose:1.2), hand shielding eyes, wind in hair, standing at edge, vista view","indoor, sitting still, reading",Cinematic vista gaze. Combos: SCENE_Mountain_Top; LIGHTING_Golden_Hour_Sunset; MOOD_Melancholic. Universal BODY.,ACTIVITY
ACTIVITY_Painting,"(painting:1.2), artist at easel, paintbrush in hand, canvas, palette, art studio, paint smudges, creating artwork, artist at work","gaming, fighting, cooking",Painting/art activity. Combos: SCENE_Art_Studio; ARCHETYPE_Artist; OUTFIT_Casual with apron.,ACTIVITY
ACTIVITY_Sitting_Relaxed,"sitting, (relaxed pose:1.2), comfortable seated position, legs crossed, casual sitting, at ease, resting","dynamic, fighting, dancing, running",Calm seated pose. Combos: MOOD_Serene; OUTFIT_Casual; SCENE_Cafe. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ANIMAL_Bear,"bear, (brown bear:1.2), grizzly, powerful, thick fur, bear portrait, forest bear, standing or resting, ursine","anthropomorphic, human, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Bear portrait. Combos: SCENE_Forest_Outdoor; LIGHTING_Volumetric_Rays.,ANIMAL
ANIMAL_Eagle,"eagle, (bald eagle or golden eagle:1.2), raptor, soaring bird, sharp talons, feather detail, bird of prey, eagle portrait","anthropomorphic, human, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Eagle/raptor portrait. Combos: SCENE_Mountain_Top; LIGHTING_Golden_Hour_Sunset.,ANIMAL
ANIMAL_Owl,"owl, (great horned owl:1.2), nocturnal bird, feathered, large eyes, perched owl, wisdom symbol, night bird, detailed feathers","anthropomorphic, human, human, anthropomorphic, text, watermark, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Owl portrait. Combos: SCENE_Forest_Outdoor; LIGHTING_Night_Moonlit; ATMOSPHERE_Time_Midnight.,ANIMAL
ARCHETYPE_Alchemist,"1girl, alchemist, (alchemist robe:1.2), potion bottles, mortar and pestle, mystical ingredients, alchemy lab, apron, glowing potions, flask","modern, casual, office",Alchemist archetype. Combos: ERA_Steampunk; SCENE_Library; LIGHTING_Candlelight. Conflicts: ARCHETYPE_Nurse.,ARCHETYPE
ARCHETYPE_Bard,"1person, bard, (lute musician:1.2), colorful medieval clothes, performer, storyteller, traveling musician, jester-adjacent, tavern performer","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Bard/performer archetype. Combos: SCENE_Tavern_Inn; PROPS_Guitar; THEME_Fantasy_Cozy.,ARCHETYPE
ARCHETYPE_Demon_Queen,"1girl, demon queen, dark crown, (dark armor:1.2), large dark wings, glowing red or purple eyes, imposing presence, dark cape, queen of darkness","male, boy, angel, pastel colors, cute",Dark queen archetype. Combos: SCENE_Throne_Room; LIGHTING_Dramatic_Shadow; MOOD_Confident; BODY_Tall_Elegant. Conflicts: ARCHETYPE_Magical_Girl.,ARCHETYPE
ARCHETYPE_Fortune_Teller,"1girl, fortune teller, (crystal ball:1.3), mystic veil, tarot cards, mysterious robes, henna, coin jewelry, mystical gaze, tent backdrop","modern, casual, armor",Fortune teller. Combos: MOOD_Mysterious; LIGHTING_Candlelight; PALETTE_Warm_Earth.,ARCHETYPE
ARCHETYPE_Knight,"1girl, female knight, (plate armor:1.3), sword and shield, paladin, holy knight, armored knight, heroic knight, full plate armor, visor optional","casual, fantasy robe, modern",Knight/paladin. Combos: SCENE_Fantasy_Ruins; MOOD_Determined; LIGHTING_Volumetric_Rays. Conflicts: ARCHETYPE_Idol.,ARCHETYPE
ARCHETYPE_Maid,"1girl, maid outfit, frilly maid dress, white apron, maid headdress, black and white uniform, collar, long sleeves","male, boy, dirty, torn clothes, nude",Classic maid archetype. Combos: SCENE_Bedroom; MOOD_Playful; ACTIVITY_Cooking. Conflicts: ARCHETYPE_Kunoichi.,ARCHETYPE
ARCHETYPE_Male_Mage,"1boy, male mage, wizard, sorcerer, (magical staff:1.2), robes, arcane symbols, glowing eyes, mystic, spellcaster, male magic user","female, 1girl, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Male mage/wizard archetype. Combos: OUTFIT_Hooded_Cloak; SCENE_Wizard_Tower; LIGHTING_Volumetric_Rays.,ARCHETYPE
ARCHETYPE_Male_Sailor,"1boy, sailor, (naval uniform:1.2), captain hat, seafarer, ocean man, ship crew, weathered face, maritime clothing, anchor motif","female, 1girl, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Male sailor/captain archetype. Combos: SCENE_Pirate_Ship_Deck; SCENE_Harbor_Port; WEATHER_Windy.,ARCHETYPE
ARCHETYPE_Monk,"1person, monk, (monk robes:1.2), shaved head or cloth wrap, meditation, martial arts, Buddhist or fantasy monk, inner peace, training gi","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Monk archetype — martial or spiritual. Combos: SCENE_Ancient_Temple_Interior; ACTIVITY_Meditating; MOOD_Serene.,ARCHETYPE
ARCHETYPE_Pirate_Captain,"1girl, female pirate captain, (tricorn hat:1.2), pirate coat, cutlass, pirate outfit, naval pirate, bandana, boots, seafaring attire","modern, office, school uniform",Pirate captain. Combos: MOOD_Confident; ERA_Victorian; WEATHER_Heavy_Rain for drama. Conflicts: ARCHETYPE_Nun.,ARCHETYPE
ARCHETYPE_Shrine_Maiden,"1girl, miko, shrine maiden, (white haori:1.2), red hakama, ofuda, hair ribbon, traditional japanese clothing, tabi socks","male, boy, modern clothes, western outfit",Japanese miko. Combos: SCENE_Japanese_Night; LIGHTING_Night_Moonlit; MOOD_Mysterious. Conflicts: ARCHETYPE_Nun (similar but distinct).,ARCHETYPE
ARCHETYPE_Teacher,"1girl, teacher, (formal teacher attire:1.2), pointer stick, glasses, chalkboard, lesson, stern but kind teacher, educator, school teacher","casual, fantasy, armor",Teacher archetype. Combos: SCENE_School_Classroom; ACCESSORY_Glasses; MOOD_Confident.,ARCHETYPE
ATMOSPHERE_Ash_Falling,"(volcanic ash falling:1.2), ash in the air, grey snowfall, ash-covered ground, post-volcanic, pale grey ash, silent ash fall","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Falling ash atmosphere. Combos: SCENE_Post_Nuclear_Wasteland; SCENE_Burning_Building.,ATMOSPHERE
ATMOSPHERE_Dust_Sunlight,"dust particles in sunlight, light shafts with dust, floating dust motes, sunbeam dust, golden dust particles, indoor sunbeam particles","clean, sterile, outdoor rain",Dust in sunbeams. Combos: LIGHTING_Volumetric_Rays; SCENE_Library; SCENE_Gothic_Castle. Adds depth and atmosphere.,ATMOSPHERE
ATMOSPHERE_Horror_Blood_Mist,"(red tinged mist:1.3), blood mist, crimson fog, horror atmospheric mist, ominous red haze, threatening fog","cheerful, bright, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Horror blood mist atmosphere. Combos: SCENE_Foggy_Cemetery; THEME_Horror_Supernatural.,ATMOSPHERE
ATMOSPHERE_Season_Spring_Cherry,"spring season, cherry blossoms, sakura petals, pink flowers, blooming trees, gentle spring breeze, sakura falling","winter, snow, autumn leaves",Cherry blossom spring. Combos: OUTFIT_Traditional_Japanese; LIGHTING_Soft_Warm; MOOD_Serene. Universal BODY.,ATMOSPHERE
ATMOSPHERE_Spores_Floating,"(floating spores:1.2), bioluminescent spores, particle spores, forest spores, magical dust particles, glowing floating particles","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Floating spore particles. Combos: SCENE_Enchanted_Grove; SCENE_Overgrown_Asylum.,ATMOSPHERE
ATMOSPHERE_Weather_Dense_Fog,"(dense fog:1.3), thick mist, foggy atmosphere, obscured background, misty air, fog rolling in, visibility reduced","clear, bright, sharp background",Dense fog for mystery. Combos: SCENE_Forest_Outdoor; MOOD_Mysterious; LIGHTING_Dim_Dark.,ATMOSPHERE
BODY_Androgynous,"1girl, androgynous, (androgynous features:1.2), gender-ambiguous, soft masculine features, neutral body, slim androgynous figure, boyish feminine","obviously feminine, curvy, busty",Androgynous body type. Combos: HAIR_Short_Bob; OUTFIT_Streetwear; MOOD_Mysterious. Unique character type.,BODY
BODY_Freckles,"1girl, freckles, freckled skin, natural skin, sun freckles, light freckles across nose and cheeks","perfect skin, flawless, no marks",Natural freckles. Combos: any BODY type; SEASON_Summer_Beach; HAIR_Colorful_Dye.,BODY
BODY_Male_Slim_Lean,"1boy, male, slim male, lean build, slender physique, elegant male frame, narrow shoulders, boyish figure, lithe male","female, muscular, bulky, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Slim/lean male body. Combos: ARCHETYPE_Male_Rogue; ARCHETYPE_Bard; MOOD_Mysterious.,BODY
BODY_Pear_Shaped,"1girl, pear body shape, (wide hips:1.3), narrow shoulders, bottom-heavy figure, wider lower body, slimmer upper body, natural pear silhouette","inverted triangle, broad shoulders, uniform",Pear body shape. Combos: OUTFIT_Evening_Dress; BODY_Thicc_Voluptuous (for overlap). Real body diversity.,BODY
CAMERA_Comp_Diagonal,"(diagonal composition:1.2), dynamic diagonal lines, leading lines, angular layout, energetic framing","static, centered, symmetrical",Dynamic diagonals for energy. Combos: ACTIVITY_Running; ACTIVITY_Fighting_Pose; MOOD_Fierce.,CAMERA
CAMERA_Comp_Symmetry,"(symmetrical composition:1.2), centered subject, perfect symmetry, mirrored layout, Wes Anderson style","asymmetrical, dynamic",Wes Anderson-style symmetry. Combos: MOOD_Elegant; SCENE_Ballroom; ARCHETYPE_Demon_Queen. Conflicts: COMPOSITION_Dutch_Angle.,CAMERA
