character,copyright,trigger,core_tags,count,url
001_(darling_in_the_franxx),darling_in_the_franxx,"001 (darling in the franxx), darling in the franxx","1girl, blue skin, single horn, blue horns, tail, blue eyes, very long hair, white hair, blunt bangs, small breasts, navel, tentacles",111,https://danbooru.donmai.us/posts?tags=001_(darling_in_the_franxx)
00_gundam,gundam,"00 gundam, gundam","no humans, blue eyes, green eyes, glowing eyes, mobile suit, v-fin, mecha",154,https://danbooru.donmai.us/posts?tags=00_gundam
00_qan[t],gundam,"00 qan[t], gundam","no humans, green eyes, blue eyes, mobile suit, mobile suit, v-fin, mecha musume, mecha",136,https://danbooru.donmai.us/posts?tags=00_qan[t]
00_raiser,gundam,"00 raiser, gundam","no humans, green eyes, mobile suit, mobile suit, v-fin, mecha musume, mecha",79,https://danbooru.donmai.us/posts?tags=00_raiser
12.7cm_twin_gun_mount,kantai_collection,"12.7cm twin gun mount, kantai collection",,30,https://danbooru.donmai.us/posts?tags=12.7cm_twin_gun_mount
12f_(arknights),arknights,"12f (arknights), arknights","1boy, furry male, tail, yellow eyes, black jacket, hooded jacket, long sleeves, lizard",32,https://danbooru.donmai.us/posts?tags=12f_(arknights)
18-volt,warioware,"18-volt, warioware",,54,https://danbooru.donmai.us/posts?tags=18-volt
2003_server,os-tan,"2003 server, os-tan",,40,https://danbooru.donmai.us/posts?tags=2003_server
210_(reverse:1999),reverse:1999,"210 (reverse:1999), reverse:1999",,48,https://danbooru.donmai.us/posts?tags=210_(reverse:1999)
25-ji_kaito,project_sekai,"25-ji kaito, project sekai","1boy, blue eyes, hair between eyes, short hair, dark blue hair, blue hair, collared shirt, grey shirt, black shirt, long sleeves, neck ribbon, red ribbon, blue nails, nail polish, fingernails",82,https://danbooru.donmai.us/posts?tags=25-ji_kaito
25-ji_len,project_sekai,"25-ji len, project sekai","1boy, blue eyes, aqua eyes, blonde hair, short hair, spiked hair, short ponytail, long sleeves, neck ribbon",78,https://danbooru.donmai.us/posts?tags=25-ji_len
25-ji_luka,project_sekai,"25-ji luka, project sekai","1girl, hand up, blue eyes, hair between eyes, purple eyes, pink hair, very long hair, long hair, hair ribbon, hairband, large breasts, frilled dress, red ribbon, bare shoulders, neck ribbon, nail polish, blue nails",62,https://danbooru.donmai.us/posts?tags=25-ji_luka
25-ji_meiko,project_sekai,"25-ji meiko, project sekai",,51,https://danbooru.donmai.us/posts?tags=25-ji_meiko
25-ji_miku,project_sekai,"25-ji miku, project sekai","1girl, heterochromia, blue eyes, pink eyes, aqua eyes, hair between eyes, purple eyes, grey hair, very long hair, white hair, twintails, hair ribbon, chest harness, white shirt, white dress, collared shirt, long sleeves, neck ribbon, red ribbon, white ribbon",490,https://danbooru.donmai.us/posts?tags=25-ji_miku
25-ji_rin,project_sekai,"25-ji rin, project sekai","1girl, blue eyes, aqua eyes, green eyes, blonde hair, short hair, swept bangs, hair bow, hairclip, white shirt, neck ribbon, detached sleeves, white bow, red ribbon, long sleeves, bare shoulders, frilled sleeves, yellow nails",110,https://danbooru.donmai.us/posts?tags=25-ji_rin
2b_(nier:automata),nier_(series),"2b (nier:automata), nier (series)","1girl, mole under mouth, short hair, white hair, black hairband, medium breasts, large breasts, cleavage cutout, cleavage, ass, thighs, thigh boots, highleg leotard, black thighhighs, black dress, black gloves, juliet sleeves, black blindfold",9696,https://danbooru.donmai.us/posts?tags=2b_(nier:automata)
2k-tan,os-tan,"2k-tan, os-tan","1girl, blue eyes, glasses, blue hair, short hair",725,https://danbooru.donmai.us/posts?tags=2k-tan
2p_(nier:automata),nier_(series),"2p (nier:automata), nier (series)","1girl, dark-skinned female, very dark skin, mole under mouth, lips, short hair, black hair, white hairband, large breasts, medium breasts, cleavage, cleavage cutout, thick thighs, ass, thighs, highleg leotard, juliet sleeves, blindfold, white blindfold",238,https://danbooru.donmai.us/posts?tags=2p_(nier:automata)
3.1-tan,os-tan,"3.1-tan, os-tan","1girl, loli, red eyes, long hair, purple hair, grey hair, blunt bangs, hair bow, flat chest",522,https://danbooru.donmai.us/posts?tags=3.1-tan
35p_(sakura_miko),hololive,"35p (sakura miko), hololive","1girl, green eyes, hair between eyes, pink hair, long hair, ahoge, hairclip, large breasts, medium breasts, long sleeves, virtual youtuber, virtual youtuber",800,https://danbooru.donmai.us/posts?tags=35p_(sakura_miko)
37_(naisnow)_(reverse:1999),reverse:1999,"37 (naisnow) (reverse:1999), reverse:1999",1girl,29,https://danbooru.donmai.us/posts?tags=37_%28naisnow%29_%28reverse%3A1999%29
37_(reverse:1999),reverse:1999,"37 (reverse:1999), reverse:1999","1girl, hand up, blue eyes, hair between eyes, blue hair, very long hair, greco-roman clothes, ancient greek clothes, greco-roman clothes, ancient greek clothes, white dress, gold choker, bare shoulders, toga, toga, armlet",478,https://danbooru.donmai.us/posts?tags=37_(reverse:1999)
